Location
The Zoo
A Farm
A COVID-19 Testing Site
The Mall
The Grand Canyon
A Protest March
A Superspreader Trump Rally
A Socially Distanced Biden Rally
A COVID-19 Hot Spot
A TENET screening
A New Mutants Drive-In Screening
A Boat Parade
The Hair Salon
A Zoom Call
The Swingers Club
An Outdoor Dining Space
The Post Office
An Early Voting Site
The Home Of Postmaster General Louis DeJoy
The Moon
The FOX Network
The Sturgis Motorcycle Rally
A Smash Mouth Concert
The Herman Cain Memorial Service
A Herman Cain Seance
A Smash Mouth Memorial Service
A Nicolas Cage Show
The West Wing Reunion Coming This Fall To HBO MAX
The Aisne-Marne American Cemetary near Paris
The Australia Wildfires
The California Wildfires
A Quarantine Cruise Ship
The MyPillow Factory
